	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AT,DE,FI																												18				39					64			4		8
AT,DE,FI,SK																						3																				
AT,DE,FR						70	37													10								3		30			97	6		6			1		30	
AT,DE,FR,GB																															11								1			
AT,DE,FR,IT																																									56	
AT,DE,FR,SI																				1																						
AT,DE,GB								2													2	1						5		3				24	68		35		3	76	8	
AT,DE,GB,HU,IT																																5										
AT,DE,GB,JP																				6																						
AT,DE,GB,SE																																					1					
AT,DE,GB,US																																				55						
AT,DE,GE																																						2				
AT,DE,GR,IT,PL,SI																																				1						
AT,DE,HK,RU,SG,SK,US																																									4	
AT,DE,HK,US																																										15
AT,DE,HR																																									20	
AT,DE,HR,NL																1																										
AT,DE,HU		8															12																		20							
AT,DE,HU,IT																								15	2																	
AT,DE,HU,MD,RO,SK																																		5								
AT,DE,HU,RO																																					47					
AT,DE,IE,IT																																										15
AT,DE,IE,PK,ZA																																			5							
AT,DE,IL																						1							42													19
AT,DE,IL,IT																																21										
AT,DE,IN							4																	51						7	2				11			10		15		
AT,DE,IN,US																																						4				
AT,DE,IT							9										3				5						2			43	6	20				16	65	148				5
AT,DE,IT,NO																																							8			
AT,DE,IT,PK																																										
AT,DE,IT,US																												6														
AT,DE,JP					2								23														2											3	22			
AT,DE,JP,SK																				8																						
AT,DE,LI																																						2				
AT,DE,MD																									6			8	5													
AT,DE,MN																												2														
AT,DE,MX																													16													
AT,DE,NL																							2				6		1	52			3		4	9	4		1		6	
AT,DE,NL,SK																						1																				
AT,DE,NL,US																																										44
